id,imdb_id,title,year,rating,duration_minutes,metascore
199,tt0469494,There Will Be Blood,2007,8.2,158,93
200,tt0078748,Alien: Das unheimliche Wesen aus einer fremden Welt,1979,8.5,117,89
201,tt0095016,Stirb langsam,1988,8.2,132,72
202,tt0102926,The Silence of the Lambs,1991,8.6,118,86
203,tt0119488,Bí Mật Los Angeles,1997,8.2,138,91
204,tt0053291,Manche mögen's heiß,1959,8.2,121,98
205,tt2267998,Gone Girl,2014,8.1,149,79
206,tt15239678,Dune: Part Two,2024,8.5,166,79
207,tt0047396,Rear Window,1954,8.5,112,100
208,tt0325980,Fluch der Karibik,2003,8.1,143,63
209,tt0211915,Die fabelhafte Welt der Amelie,2001,8.3,122,70
210,tt0133093,Matrix,1999,8.7,136,73
211,tt0252488,Hababam Sinifi: Sinifta Kaldi,1975,8.6,95,
212,tt0046438,Die Reise nach Tokio,1953,8.1,137,100
213,tt0015864,The Gold Rush,1925,8.1,95,90
214,tt1895587,Spotlight,2015,8.1,129,93
215,tt0264464,Hãy Bắt Tôi Nếu Có Thể,2002,8.1,141,75
216,tt0105695,Erbarmungslos,1992,8.2,130,85
217,tt0120815,Der Soldat James Ryan,1998,8.6,169,91
218,tt0091251,Кел де көр,1985,8.3,142,
219,tt0120586,Ameerika ajalugu X,1998,8.5,119,62
220,tt0080684,Star Wars: Episode V - Das Imperium schlägt zurück,1980,8.7,124,82
221,tt0056172,Lawrence z Arabii,1962,8.3,227,100
222,tt1675434,Ziemlich beste Freunde,2011,8.5,112,57
223,tt0033467,Citizen Kane,1941,8.3,119,100
224,tt0172495,Gladiator,2000,8.5,155,67
225,tt5027774,"Three Billboards Outside Ebbing, Missouri",2017,8.1,115,88
226,tt1832382,Cuộc Chia Ly,2011,8.3,123,95
227,tt1392214,Prisoners,2013,8.2,153,70
228,tt0457430,Pan's Labyrinth,2006,8.2,118,98
229,tt0034583,Casablanca,1942,8.5,102,100
230,tt0114709,Toy Story,1995,8.3,81,96
231,tt0070735,Der Clou,1973,8.2,129,83
232,tt0167404,The Sixth Sense - Nicht jede Gabe ist ein Segen,1999,8.2,107,64
233,tt6751668,Parasite,2019,8.5,132,97
234,tt1291584,Chiến Binh Quyền Anh,2011,8.1,140,71
235,tt0758758,În sălbăticie,2007,8.0,148,73
236,tt0081398,Wie ein wilder Stier,1980,8.1,129,90
237,tt0012349,Der Vagabund und das Kind,1921,8.2,54,
238,tt0053604,Căn Hộ Tình Yêu,1960,8.3,125,94
239,tt0110357,Der König der Löwen,1994,8.5,88,88
240,tt0056592,Wer die Nachtigall stört,1962,8.3,129,88
241,tt2380307,Coco - Lebendiger als das Leben!,2017,8.4,105,81
242,tt29623480,Der wilde Roboter,2024,8.2,102,85
243,tt0050976,Das siebente Siegel,1957,8.1,96,88
244,tt3315342,Logan: The Wolverine,2017,8.1,137,77
245,tt10272386,The Father,2020,8.2,97,88
246,tt3170832,Raum,2015,8.1,118,86
247,tt1201607,Harry Potter und die Heiligtümer des Todes - Teil 2,2011,8.1,130,85
248,tt0180093,Requiem for a Dream,2000,8.3,102,71
249,tt2096673,Alles steht Kopf,2015,8.1,95,94
250,tt0072684,Barry Lyndon,1975,8.1,185,89
